,timestamp,station_id,ghi,dhi,temperature_2m,wind_speed,precipitation_rate,precipitation_duration
03946,0.0,0.0,100.0,100.0,0.59,0.3,81.5,81.5
01832,0.0,0.0,100.0,100.0,1.82,0.69,15.68,15.61
00953,0.0,0.0,1.4,1.4,1.07,0.98,15.74,15.74
05825,0.0,0.0,100.0,100.0,0.61,0.11,15.72,100.0
02115,0.0,0.0,4.88,4.88,0.19,2.75,18.13,15.57
02925,0.0,0.0,0.4,0.41,0.12,0.4,15.79,15.57
05349,0.0,0.0,100.0,100.0,0.1,0.01,15.57,15.78
02485,0.0,0.0,100.0,100.0,1.04,1.08,81.57,81.57
01886,0.0,0.0,100.0,100.0,0.53,2.49,81.5,100.0
01691,0.0,0.0,0.75,0.75,0.31,0.32,16.22,15.6
03093,0.0,0.0,100.0,100.0,0.16,0.05,81.5,81.5
19207,0.0,0.0,100.0,100.0,0.55,0.56,83.72,100.0
04745,0.0,0.0,0.37,0.37,0.14,0.04,15.67,15.61
05490,0.0,0.0,100.0,100.0,1.39,1.29,81.35,81.35
00198,0.0,0.0,100.0,100.0,0.17,0.36,82.2,82.2
05371,0.0,0.0,100.0,100.0,0.37,0.19,15.58,15.58
00662,0.0,0.0,1.57,1.49,0.39,0.97,15.78,15.77
03015,0.0,0.0,0.35,0.35,0.13,0.24,15.58,15.57
02429,0.0,0.0,100.0,100.0,0.38,0.27,81.5,81.5
00963,0.0,0.0,0.55,0.55,0.31,0.25,15.75,15.75
01048,0.0,0.0,0.39,0.35,0.11,0.03,15.57,15.57
00596,0.0,0.0,1.0,1.0,0.35,0.53,15.61,15.69
04464,0.0,0.0,100.0,100.0,0.21,0.65,81.5,81.5
04887,0.0,0.0,76.72,76.71,1.9,1.84,16.24,16.23
03321,0.0,0.0,100.0,100.0,0.0,0.48,83.72,100.0
05029,0.0,0.0,100.0,100.0,0.33,0.29,15.59,15.59
02928,0.0,0.0,100.0,100.0,0.12,0.0,81.5,81.5
05546,0.0,0.0,100.0,100.0,0.92,1.16,81.53,81.53
00164,0.0,0.0,100.0,100.0,0.11,0.0,81.5,81.5
13674,0.0,0.0,100.0,100.0,0.92,0.91,81.3,81.39
05516,0.0,0.0,100.0,100.0,0.21,0.47,81.5,81.5
06344,0.0,0.0,100.0,100.0,0.83,0.93,15.98,100.0
00427,0.0,0.0,37.06,37.06,0.21,0.78,15.58,15.97
06163,0.0,0.0,0.35,0.35,0.12,0.04,16.17,16.15
01303,0.0,0.0,4.82,5.3,0.11,0.28,15.57,15.57
02559,0.0,0.0,0.53,0.52,0.27,0.24,15.7,15.63
05142,0.0,0.0,0.35,0.35,0.11,0.02,15.57,15.57
07393,0.0,0.0,100.0,100.0,0.1,0.01,81.53,81.5
